time,is_weekend,is_holiday,period,tou_rate,tiered_rate,kWh
2024-01-21 17:00:00,True,False,winter,0.087,0.103,0.003
2024-01-21 19:00:00,True,False,winter,0.087,0.103,0.0
2024-01-22 05:00:00,False,False,winter,0.087,0.103,0.0
2024-01-22 07:00:00,False,False,winter,0.182,0.103,0.001
2024-01-22 08:00:00,False,False,winter,0.182,0.103,0.129
2024-01-22 09:00:00,False,False,winter,0.182,0.103,0.436
2024-01-22 10:00:00,False,False,winter,0.182,0.103,0.774
2024-01-22 11:00:00,False,False,winter,0.182,0.103,1.283
2024-01-22 12:00:00,False,False,winter,0.122,0.103,0.474
2024-01-22 13:00:00,False,False,winter,0.122,0.103,0.511
2024-01-22 14:00:00,False,False,winter,0.122,0.103,0.539
2024-01-22 15:00:00,False,False,winter,0.122,0.103,0.56
2024-01-22 16:00:00,False,False,winter,0.122,0.103,0.217
2024-01-22 17:00:00,False,False,winter,0.182,0.103,0.0
2024-01-22 19:00:00,False,False,winter,0.087,0.103,0.0
2024-01-23 05:00:00,False,False,winter,0.087,0.103,0.0
2024-01-23 08:00:00,False,False,winter,0.182,0.103,0.0
2024-01-23 09:00:00,False,False,winter,0.182,0.103,0.0
2024-01-23 10:00:00,False,False,winter,0.182,0.103,0.0
2024-01-23 11:00:00,False,False,winter,0.182,0.103,0.007
2024-01-23 12:00:00,False,False,winter,0.122,0.103,0.083
2024-01-23 13:00:00,False,False,winter,0.122,0.103,0.223
2024-01-23 14:00:00,False,False,winter,0.122,0.103,0.162
2024-01-23 15:00:00,False,False,winter,0.122,0.103,0.087
2024-01-23 16:00:00,False,False,winter,0.122,0.103,0.006
2024-01-23 17:00:00,False,False,winter,0.182,0.103,0.0
2024-01-23 18:00:00,False,False,winter,0.182,0.103,0.0
2024-01-24 04:00:00,False,False,winter,0.087,0.103,0.0
2024-01-24 07:00:00,False,False,winter,0.182,0.103,0.0
2024-01-24 08:00:00,False,False,winter,0.182,0.103,0.006
2024-01-24 09:00:00,False,False,winter,0.182,0.103,0.074
2024-01-24 10:00:00,False,False,winter,0.182,0.103,0.156
2024-01-24 11:00:00,False,False,winter,0.182,0.103,0.167
2024-01-24 12:00:00,False,False,winter,0.122,0.103,0.157
2024-01-24 13:00:00,False,False,winter,0.122,0.103,0.205
2024-01-24 14:00:00,False,False,winter,0.122,0.103,0.115
2024-01-24 15:00:00,False,False,winter,0.122,0.103,0.051
2024-01-24 16:00:00,False,False,winter,0.122,0.103,0.014
2024-01-24 17:00:00,False,False,winter,0.182,0.103,0.0
2024-01-24 18:00:00,False,False,winter,0.182,0.103,0.0
2024-01-25 04:00:00,False,False,winter,0.087,0.103,0.0
2024-01-25 07:00:00,False,False,winter,0.182,0.103,0.0
2024-01-25 08:00:00,False,False,winter,0.182,0.103,0.043
2024-01-25 09:00:00,False,False,winter,0.182,0.103,0.171
2024-01-25 10:00:00,False,False,winter,0.182,0.103,0.32
2024-01-25 11:00:00,False,False,winter,0.182,0.103,0.424
2024-01-25 12:00:00,False,False,winter,0.122,0.103,0.435
2024-01-25 13:00:00,False,False,winter,0.122,0.103,0.465
2024-01-25 14:00:00,False,False,winter,0.122,0.103,0.273
2024-01-25 15:00:00,False,False,winter,0.122,0.103,0.176
2024-01-25 16:00:00,False,False,winter,0.122,0.103,0.024
2024-01-25 17:00:00,False,False,winter,0.182,0.103,0.0
2024-01-25 19:00:00,False,False,winter,0.087,0.103,0.0
2024-01-26 05:00:00,False,False,winter,0.087,0.103,0.0
2024-01-26 08:00:00,False,False,winter,0.182,0.103,0.0
2024-01-26 09:00:00,False,False,winter,0.182,0.103,0.177
2024-01-26 10:00:00,False,False,winter,0.182,0.103,0.514
2024-01-26 11:00:00,False,False,winter,0.182,0.103,0.878
2024-01-26 12:00:00,False,False,winter,0.122,0.103,1.007
2024-01-26 13:00:00,False,False,winter,0.122,0.103,1.501
2024-01-26 14:00:00,False,False,winter,0.122,0.103,0.484
2024-01-26 15:00:00,False,False,winter,0.122,0.103,0.12
2024-01-26 16:00:00,False,False,winter,0.122,0.103,0.076
2024-01-26 17:00:00,False,False,winter,0.182,0.103,0.0
2024-01-26 19:00:00,False,False,winter,0.087,0.103,0.0
2024-01-27 05:00:00,True,False,winter,0.087,0.103,0.0
2024-01-27 08:00:00,True,False,winter,0.087,0.103,0.018
2024-01-27 09:00:00,True,False,winter,0.087,0.103,0.198
2024-01-27 10:00:00,True,False,winter,0.087,0.103,0.356
2024-01-27 11:00:00,True,False,winter,0.087,0.103,0.5
2024-01-27 12:00:00,True,False,winter,0.087,0.103,0.458
2024-01-27 13:00:00,True,False,winter,0.087,0.103,0.312
2024-01-27 14:00:00,True,False,winter,0.087,0.103,0.176
2024-01-27 15:00:00,True,False,winter,0.087,0.103,0.102
2024-01-27 16:00:00,True,False,winter,0.087,0.103,0.015
2024-01-27 17:00:00,True,False,winter,0.087,0.103,0.0
2024-01-27 19:00:00,True,False,winter,0.087,0.103,0.0
2024-01-28 05:00:00,True,False,winter,0.087,0.103,0.0
2024-01-28 08:00:00,True,False,winter,0.087,0.103,0.004
2024-01-28 09:00:00,True,False,winter,0.087,0.103,0.054
2024-01-28 10:00:00,True,False,winter,0.087,0.103,0.11
2024-01-28 11:00:00,True,False,winter,0.087,0.103,0.137
2024-01-28 12:00:00,True,False,winter,0.087,0.103,0.222
2024-01-28 13:00:00,True,False,winter,0.087,0.103,0.179
2024-01-28 14:00:00,True,False,winter,0.087,0.103,0.138
2024-01-28 15:00:00,True,False,winter,0.087,0.103,0.163
2024-01-28 16:00:00,True,False,winter,0.087,0.103,0.03
2024-01-28 17:00:00,True,False,winter,0.087,0.103,0.0
